Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference,CP_mean,CP_std,GDH_mean,GDH_std,CH_mean,CH_std,CU_mean,CU_std,CP_standardized,GDH_standardized
Japanese Plum,Songold,,Spain,E,595.5,987.5,60.75,9311.0,[31],40.35,9.24,6494.51,1465.26,462.78,136.42,686.18,179.47,2.21,1.92
Japanese apricot,67,,China,E,,,69.0,994.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.67,-1.01
Japanese apricot,Baijiahe,,China,E,,,59.0,1316.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.08,-0.2
Japanese apricot,Changnong17,,China,E,,,69.0,994.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.67,-1.01
Japanese apricot,Dabaimei,,China,E,,,56.0,1669.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.3,0.7
Japanese apricot,Dali,,China,E,,,40.0,1192.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-1.5,-0.51
Japanese apricot,Danfenghou,,China,E,,,73.0,2054.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.97,1.68
Japanese apricot,Daqiandi,,China,E,,,66.5,1096.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.48,-0.76
Japanese apricot,Daroumei,,China,E,,,38.5,1100.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-1.62,-0.75
Japanese apricot,Dayezhugan,,China,E,,,73.0,1651.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.97,0.65
Japanese apricot,Dayu,,China,E,,,69.0,822.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.67,-1.45
Japanese apricot,Dongqing,,China,E,875.0,1054.0,58.0,1018.0,"Gao et al., 2012",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.15,-0.95
Japanese apricot,Dongshanlimei,,China,E,,,50.0,1250.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.75,-0.36
Japanese apricot,Fenghou,,China,E,1148.0,1323.0,73.0,1697.0,"Gao et al., 2012",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.97,0.77
Japanese apricot,Fenghualimei,,China,E,,,56.0,1533.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.3,0.35
Japanese apricot,Gaotianfenghou,,China,E,,,73.0,2054.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.97,1.68
Japanese apricot,Gaotiangmei,,China,E,,,64.5,1099.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.33,-0.75
Japanese apricot,Guangdonghuangpi,,China,E,,,40.0,1192.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-1.5,-0.51
Japanese apricot,Gucheng,,China,E,,,59.0,1383.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.08,-0.03
Japanese apricot,Hangzhoubaimei,,China,E,,,60.0,1231.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.0,-0.41
Japanese apricot,Henghe,,China,E,,,34.0,1287.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-1.95,-0.27
Japanese apricot,Hongding,,China,E,,,69.0,860.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.67,-1.35
Japanese apricot,Hongmei,,China,E,,,73.0,1835.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.97,1.12
Japanese apricot,Hongnong,,China,E,,,75.0,1675.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,1.12,0.71
Japanese apricot,Huangxiaoda,,China,E,,,56.0,1533.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-0.3,0.35
Japanese apricot,Huaxiangshi,,China,E,,,33.5,1072.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,-1.99,-0.82
Japanese apricot,Jiazhouxiaomei,,China,E,,,69.0,1733.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.67,0.86
Japanese apricot,Jiazhouzuixiao,,China,E,,,62.0,1116.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.15,-0.7
Japanese apricot,Jietianmei,,China,E,,,77.0,2378.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,1.27,2.5
Japanese apricot,Jiuzhongmei,,China,E,,,66.5,1096.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.48,-0.76
Japanese apricot,Lizimei,,China,E,,,69.0,977.0,"Zhuang et al., 2016",60.06,13.33,1393.76,394.02,670.38,374.76,964.0,364.15,0.67,-1.06
