Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference
Apple,Jonalicious,Dessert,USA,E,1174,,,,"Hauagge and Cummins, 1991"
Apple,Jonamac,Dessert,USA,E,,,,,"Hauagge and Cummins, 1991"
Apple,Julia,Dessert,Italy,E,775,,41,,"Finetto, 2013"
Apple,June Wealthy,Dessert,USA,E,978,,,,"Hauagge and Cummins, 1991"
Apple,Kalei,Dessert,Australia,E,883,1275,75.5,,"Parkes et al., 2020"
Apple,Kerr,Crab,USA,E,919,,,,"Hauagge and Cummins, 1991"
Apple,Khashabi,Unknown,USA,E,694,,,,
Apple,King Kole,Unknown,USA,E,960,,,,
Apple,Lennoxville,Unknown,USA,E,792,,,,
Apple,Leyda,Unknown,USA,E,1009,,,,
Apple,Liberty,Dessert,USA,E,1053,,,,"Hauagge and Cummins, 1991"
Apple,Limón Montés,Cider,Spain,E,904,1296,84,11249,"Delgado et al., 2021a"
Apple,Malling 26,Rootstock,USA,E,1190,,,6138,"Young and Werner, 1985"
Apple,Malling 7,Rootstock,USA,E,590,,,4278,"Young and Werner, 1985"
Apple,Malling 9,Rootstock,USA,E,1190,,,4836,"Young and Werner, 1985"
Apple,Malling 7,Rootstock,USA,E,1151,,,,"Hauagge and Cummins, 1991"
Apple,Malling 9,Rootstock,USA,E,1026,,,,"Hauagge and Cummins, 1991"
Apple,Malling-Merton 106,Rootstock,USA,E,1246,,,,"Hauagge and Cummins, 1991"
Apple,Malling-Merton 106,Rootstock,USA,E,1120,,,4929,"Young and Werner, 1985"
Apple,Malling-Merton 111,Rootstock,USA,E,1419,,,,"Hauagge and Cummins, 1991"
Apple,Malling-Merton 111,Rootstock,USA,E,1140,,,5766,"Young and Werner, 1985"
Apple,Manchurian,Dessert,Australia,E,724,1031,61,,"Parkes et al., 2020"
Apple,Maribor,Unknown,USA,E,1067,,,,
Apple,Marin Oufroy,Cider,USA,E,1423,,,,"Hauagge and Cummins, 1991"
Apple,McIntosh,Dessert,USA,E,1086,,,,"Hauagge and Cummins, 1991"
Apple,McLicious,Dessert,USA,E,1090,,,,"Hauagge and Cummins, 1991"
Apple,Medina,Unknown,USA,E,998,,,,
Apple,Melba,Dessert,USA,E,1099,,,,"Hauagge and Cummins, 1991"
Apple,Melodie,Dessert,Italy,E,1103,,58,,"Finetto, 2013"
Apple,Melrose,Dessert,USA,E,1063,,,,"Hauagge and Cummins, 1991"
Apple,Milton,Dessert,USA,E,1160,,,,"Hauagge and Cummins, 1991"
Apple,Minjon,Unknown,USA,E,1290,,,,
Apple,Minkler,Cider,USA,E,997,,,,"Hauagge and Cummins, 1991"
Apple,Northern Spy,Dessert,USA,E,1228,,,,"Hauagge and Cummins, 1991"
Apple,Oporto,Unknown,USA,E,1123,,,,
Apple,Orleans,Dessert,USA,E,1075,,,,"Hauagge and Cummins, 1991"
Apple,Ottawa 7,Unknown,USA,E,854,,,,
Apple,Perezosa,Cider,Spain,S,826,1267,64.4,7326,"Delgado et al., 2021b"
