Species,Cultivar,Usage,Location,Method,CH,CU,CP,GDH,Reference
Japanese Plum,Black Gold,,Cieza,E,479,814,47.5,5187,"Delgado et al., 2025"
Japanese Plum,Black Gold,,Cieza,E,688,1017,56.6,6791,"Delgado et al., 2025"
Japanese Plum,Black Gold,,Medjez El Bab,E,534,752,46,3845,"Delgado et al., 2025"
Japanese Plum,Black Gold,,Medjez El Bab,E,378,265,30,6544,"Delgado et al., 2025"
Japanese Plum,Fortune,,Zaragoza,E,295,603,29.4,6646,"Delgado et al., 2025"
Japanese Plum,Fortune,,Zaragoza,E,384,612,32.4,6929,"Delgado et al., 2025"
Japanese Plum,Fortune,,Zaragoza,E,397,532,34.6,6359,"Delgado et al., 2025"
Japanese Plum,Fortune,,Guadajira,E,471,676,43.2,7400,"Delgado et al., 2025"
Japanese Plum,Fortune,,Guadajira,E,532,681,39.7,7553,"Delgado et al., 2025"
Japanese Plum,Fortune,,Cieza,E,590,933,53.1,4535,"Delgado et al., 2025"
Japanese Plum,Fortune,,Cieza,E,637,942,52.8,4179,"Delgado et al., 2025"
Japanese Plum,Fortune,,Meknes,E,522,711,38.6,8134,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Zaragoza,E,399,626,33.3,6831,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Zaragoza,E,290,382,27.7,6860,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Guadajira,E,439,649,41,7064,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Guadajira,E,427,606,36,6449,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Cieza,E,497,662,32.4,6226,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Cieza,E,337,586,35.5,5613,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Cieza,E,346,532,32.8,5007,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Archena,E,339,631,33.5,6666,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Archena,E,268,618,44.7,6876,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Archena,E,322,603,37.4,6660,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Medjez El Bab,E,673,896,53,3648,"Delgado et al., 2025"
Japanese Plum,Red Beaut,,Medjez El Bab,E,556,441,37,4984,"Delgado et al., 2025"
Japanese Plum,Sungold,,Zaragoza,E,385,731,36,5955,"Delgado et al., 2025"
Japanese Plum,Sungold,,Zaragoza,E,668,875,44.5,6867,"Delgado et al., 2025"
Japanese Plum,Sungold,,Guadajira,E,471,699,44.2,7297,"Delgado et al., 2025"
Japanese Plum,Sungold,,Guadajira,E,573,695,40.7,7723,"Delgado et al., 2025"
Japanese Plum,Sungold,,Medjez El Bab,E,831,1117,65,4855,"Delgado et al., 2025"
Japanese Plum,Sungold,,Medjez El Bab,E,610,499,42,5874,"Delgado et al., 2025"
Sweet Cherry,Burlat,,Zaragoza,E,853,993,42.2,8814,"Delgado et al., 2025"
Sweet Cherry,Burlat,,Zaragoza,E,608,837,39.9,8267,"Delgado et al., 2025"
Sweet Cherry,Burlat,,Imouzzar-Kandar,E,575,737,44.1,9638,"Delgado et al., 2025"
Sweet Cherry,Burlat,,Imouzzar-Kandar,E,383,369,32.4,9932,"Delgado et al., 2025"
Sweet Cherry,Kordia,,Zaragoza,E,553,892,43.9,8708,"Delgado et al., 2025"
Sweet Cherry,Kordia,,Imouzzar-Kandar,E,625,791,47.3,14921,"Delgado et al., 2025"
Sweet Cherry,Kordia,,Imouzzar-Kandar,E,383,369,32.4,12104,"Delgado et al., 2025"
Sweet Cherry,Lapins,,Zaragoza,E,748,1121,52.8,9102,"Delgado et al., 2025"
Sweet Cherry,Lapins,,Imouzzar-Kandar,E,407,553,32.6,12521,"Delgado et al., 2025"
Sweet Cherry,Lapins,,Imouzzar-Kandar,E,251,200,23.8,9832,"Delgado et al., 2025"
Sweet Cherry,Napoleon,,Zaragoza,E,1048,1202,51.3,7925,"Delgado et al., 2025"
Sweet Cherry,Napoleon,,Zaragoza,E,880,1102,53.1,9102,"Delgado et al., 2025"
Sweet Cherry,Napoleon,,Azrou,E,432,590,34.6,14300,"Delgado et al., 2025"
Sweet Cherry,Napoleon,,Azrou,E,505,512,40.3,10948,"Delgado et al., 2025"
Sweet Cherry,Van,,Zaragoza,E,995,1136,47.7,8834,"Delgado et al., 2025"
Sweet Cherry,Van,,Zaragoza,E,795,1003,48.8,8969,"Delgado et al., 2025"
Sweet Cherry,Van,,Azrou,E,432,590,34.6,14300,"Delgado et al., 2025"
Sweet Cherry,Van,,Azrou,E,505,513,40.3,12981,"Delgado et al., 2025"
Sweet Cherry,Symphony,,Spain,E,445,685,37.6,9992,"Santolaria et al., 2026"
Sweet Cherry,Sandon Rose,,Spain,E,494,752,40.5,9005,"Santolaria et al., 2026"
Sweet Cherry,Cashmere,,Spain,E,512,788,41.5,9866,"Santolaria et al., 2026"
Sweet Cherry,Coral Champagne,,Spain,E,510,782,42,8480,"Santolaria et al., 2026"
Sweet Cherry,Tieton,,Spain,E,546,821,43.9,9111,"Santolaria et al., 2026"
Sweet Cherry,Cowiche,,Spain,E,571,856,45.2,9474,"Santolaria et al., 2026"
Sweet Cherry,Sequoia,,Spain,E,630,930,47.4,8169,"Santolaria et al., 2026"
Sweet Cherry,Chelan,,Spain,E,632,941,48.2,8254,"Santolaria et al., 2026"
Sweet Cherry,Index,,Spain,E,672,1006,50.9,7095,"Santolaria et al., 2026"
Sweet Cherry,Van,,Spain,E,672,1007,51.5,8359,"Santolaria et al., 2026"
Sweet Cherry,Bing,,Spain,E,708,1036,52.5,8572,"Santolaria et al., 2026"
Sweet Cherry,Sumele,,Spain,E,720,1057,53.4,8460,"Santolaria et al., 2026"
Sweet Cherry,Staccato,,Spain,E,746,1084,54.2,8706,"Santolaria et al., 2026"
Sweet Cherry,Sonata,,Spain,E,759,1104,55.2,8585,"Santolaria et al., 2026"
Sweet Cherry,Sweetheart,,Spain,E,774,1112,55.3,8501,"Santolaria et al., 2026"
Sweet Cherry,Sandra Rose,,Spain,E,816,1186,59.5,8489,"Santolaria et al., 2026"
Sweet Cherry,Sunburst,,Spain,E,866,1234,60.9,8535,"Santolaria et al., 2026"
Sweet Cherry,Cristalina,,Spain,E,854,1238,61.4,8658,"Santolaria et al., 2026"
Sweet Cherry,Selah,,Spain,E,874,1259,62.6,8277,"Santolaria et al., 2026"
Sweet Cherry,Hartland,,Spain,E,898,1264,62.8,7837,"Santolaria et al., 2026"
Sweet Cherry,Skeena,,Spain,E,914,1298,64.9,7491,"Santolaria et al., 2026"
Sweet Cherry,Sentennial,,Spain,E,934,1330,66.6,7707,"Santolaria et al., 2026"
Sweet Cherry,Chinook,,Spain,S,833,784,55.1,5663,"Fadón et al., 2021"
Sweet Cherry,Sandom Rose,,Spain,S,779,895,51.6,4994,"Fadón et al., 2021"
Sweet Cherry,Rainier,,Spain,S,950,1067,61.3,5774,"Fadón et al., 2021"
Sweet Cherry,Lapins,,Spain,S,938,1084,60.4,5653,"Fadón et al., 2021"
Sweet Cherry,Corum,,Spain,S,833,784,55.1,5809,"Fadón et al., 2021"
Sweet Cherry,Bing,,Spain,S,939,1053,60.6,5967,"Fadón et al., 2021"
Sweet Cherry,Vega,,Spain,S,819,769,54.3,6187,"Fadón et al., 2021"
Sweet Cherry,Early Van Compact,,Spain,S,781,728,52.2,6143,"Fadón et al., 2021"
Sweet Cherry,Van Spur,,Spain,S,831,933,54.5,5725,"Fadón et al., 2021"
Sweet Cherry,Santina,,Spain,S,917,1150,57,5664,"Fadón et al., 2021"
Sweet Cherry,Larian,,Spain,S,779,876,51.5,6040,"Fadón et al., 2021"
Sweet Cherry,Van,,Spain,S,982,1141,63.2,6338,"Fadón et al., 2021"
Sweet Cherry,Sue,,Spain,S,952,918,61.6,6646,"Fadón et al., 2021"
Sweet Cherry,Gil Peck,,Spain,S,876,831,57.1,6621,"Fadón et al., 2021"
Sweet Cherry,Compact Stella,,Spain,S,985,961,63.8,6563,"Fadón et al., 2021"
Sweet Cherry,Vic,,Spain,S,941,904,60.9,6843,"Fadón et al., 2021"
Sweet Cherry,Sunburst,,Spain,S,816,949,54,6364,"Fadón et al., 2021"
Sweet Cherry,Summit,,Spain,S,952,918,61.6,6986,"Fadón et al., 2021"
Sweet Cherry,Lambert,,Spain,S,876,831,57.1,7315,"Fadón et al., 2021"
Sweet Cherry,Sam,,Spain,S,1008,1045,65.2,7266,"Fadón et al., 2021"
Pear,Alexandrine Douillard,,Zaragoza,S,753,1027,47.5,7287,"Fadón et al., 2024"
Pear,Beurré d´Anjou,,Zaragoza,S,745,1100,47.7,6619,"Fadón et al., 2024"
Pear,Conference,,Zaragoza,S,745,1113,46.5,7347,"Fadón et al., 2024"
Pear,El Dorado,,Zaragoza,S,753,1163,47.5,7094,"Fadón et al., 2024"
Pear,Général Leclerc,,Zaragoza,S,753,1028,47.5,7107,"Fadón et al., 2024"
Pear,Grand Champion,,Zaragoza,S,745,1028,46.5,7168,"Fadón et al., 2024"
Pear,Highland,,Zaragoza,S,745,1113,46.5,7402,"Fadón et al., 2024"
Pear,Magness,,Zaragoza,S,719,1113,43.9,7509,"Fadón et al., 2024"
Pear,Packham´s Triumph,,Zaragoza,S,753,1163,47.5,6997,"Fadón et al., 2024"
Pear,Passe Crassane,,Zaragoza,S,774,1100,49.2,6514,"Fadón et al., 2024"
Pear,Pierre Corneille,,Zaragoza,S,753,1099,47.5,6519,"Fadón et al., 2024"
Pear,Président Drouard,,Zaragoza,S,760,1113,48.5,7289,"Fadón et al., 2024"
Pear,Président Heron,,Zaragoza,S,760,1163,48.5,6935,"Fadón et al., 2024"
Pear,Rogue Red,,Zaragoza,S,760,1028,48.5,7170,"Fadón et al., 2024"
Pear,Sirrine,,Zaragoza,S,757,1163,48,7075,"Fadón et al., 2024"
Pear,Star,,Zaragoza,S,757,1100,48,6573,"Fadón et al., 2024"
